Time Input_psi Output_deg
1 23.965647 -7.15154368847876
2 23.9545096427598 -7.26095366606329
3 23.9395576997187 -7.40122903261906
4 23.9242841604195 -7.63186919234812
5 23.9028631786279 -7.85078466624101
6 23.8962019103549 -7.96672035722024
7 23.8784171412678 -8.08003062105341
8 23.8544740246666 -8.37028695457096
9 23.8340911166035 -8.72444521444687
10 23.8076066233892 -8.83389703102053
11 23.7827680632743 -9.20589335904046
12 23.7582533320612 -9.40771464781619
13 23.7313759001099 -9.63350646816069
14 23.7111244100537 -9.91234160032235
15 23.6729089154161 -10.074588682173
16 23.6484132085765 -10.4112449447129
17 23.6207803799148 -10.7406979223277
18 23.5801299297115 -10.9914242463948
19 23.5464844324913 -11.2724193084792
20 23.5312760241389 -11.4809522321342
21 23.4841564600405 -11.7469468413308
22 23.4459187845371 -12.0356449898399
23 23.421992042073 -12.3323389137369
24 23.3778003670369 -12.5473709988114
25 23.3209738240936 -12.7779907656089
26 23.280907026307 -13.0177020021407
27 23.228741359205 -13.3431565137283
28 23.1921789394723 -13.5012744850042
29 23.1431929890212 -13.8778146640056
30 23.0961588082635 -14.0630606854952
31 23.057796901069 -14.3128947446413
32 23.0190639037139 -14.4794377049777
33 22.9745229699633 -14.8664889181849
34 22.9066183862952 -15.0064742486317
35 22.8631185941381 -15.2661453816058
36 22.8078398686828 -15.451454538199
37 22.7735843656377 -15.5681056822214
38 22.7142336219576 -15.8547064244991
39 22.6426745865893 -16.2573796149853
40 22.5952887520951 -16.436788975235
41 22.5279198865087 -16.7651318648844
42 22.4799872553234 -16.8538047423851
43 22.4346052845229 -17.0638678343691
44 22.3575262617825 -17.3498461299122
45 22.2917230672043 -17.4214640888038
46 22.2364731553191 -17.7008371525782
47 22.1727048883208 -17.8488910629787
48 22.1196614176165 -18.0485667824198
49 22.0317660354573 -18.1661659821818
50 21.9600510107654 -18.4291892051917
51 21.9003062031822 -18.5559911843743
52 21.8525271581524 -18.6731641784827
53 21.7551946114124 -18.915325179794
54 21.6832787244915 -19.0616963915826
55 21.6552148040979 -19.2529915323641
56 21.549225448138 -19.3636167994937
57 21.452083366421 -19.5616159659674
58 21.4266651013768 -19.6202359864342
59 21.3295046252808 -19.8127232650232
60 21.2536378682965 -19.9084603942337
61 21.1866344231764 -20.0546501030047
62 21.110011138912 -20.1293246002329
63 21.0322065704514 -20.3157212321016
64 20.9505518084302 -20.4020205405782
65 20.870713820706 -20.4891914246242
66 20.7913995072281 -20.6263431684824
67 20.6886810408649 -20.7197772106624
68 20.6306947429609 -20.8247874018874
69 20.5212714724314 -20.9454200675131
70 20.4516935359322 -21.025137028771
71 20.3947583969428 -21.1167601265811
72 20.2997626824749 -21.2014572310142
73 20.1887594319797 -21.31880426932
74 20.1216545562035 -21.3904393239129
75 20.0428782039893 -21.4720543522616
76 19.9671517160891 -21.5580629844972
77 19.8779648810571 -21.6362778285616
78 19.7822066825923 -21.6883190594207
79 19.6985764912248 -21.7765497096711
80 19.6208291034755 -21.8546443442512
81 19.5311429218916 -21.9307450690352
82 19.4259286231536 -21.9910632068859
83 19.3501278935968 -22.0384610857027
84 19.2827625711574 -22.1240364797053
85 19.1557900045287 -22.1700917071942
86 19.093615240614 -22.2437537375525
87 18.9967794189755 -22.281639060861
88 18.8899016272192 -22.3481388435981
89 18.8056253536352 -22.3838674829536
90 18.7261789336449 -22.4396878950725
91 18.6177068797192 -22.5009520288857
92 18.5350419333944 -22.5648384678096
93 18.4441048887043 -22.6402180954177
94 18.352687899742 -22.6981333325536
95 18.2592796531518 -22.7731882710557
96 18.161391468 -22.8476727791016
97 18.0605899188879 -22.918085002409
98 17.9666986016072 -22.9934455553717
99 17.8555979622239 -23.0882747656719
100 17.7801124419518 -23.1495887817575
101 17.669947661188 -23.2179979199322
102 17.5804995871965 -23.3000038196676
103 17.4803611996821 -23.3835031085395
104 17.4019297381489 -23.4378989951129
105 17.2970557003279 -23.5054807273423
106 17.2020876305499 -23.5513555263461
107 17.1191004649514 -23.5919505513913
108 17.0218647591096 -23.6445213005578
109 16.9612890151752 -23.7023908842022
110 16.8302633098889 -23.7418094301072
111 16.7150633845463 -23.7793650086403
112 16.6456648849366 -23.8172897427217
113 16.534771424498 -23.8529283164881
114 16.476927673084 -23.8803928600209
115 16.3834026421843 -23.903031798178
116 16.3029450729985 -23.9373680514414
117 16.1835076000191 -23.970602419405
118 16.0714642180958 -23.995522590666
119 15.9728773762259 -24.0220879259218
120 15.8785271845961 -24.051621042144
121 15.7738464305807 -24.0715806582574
122 15.6750616537515 -24.0936499553136
123 15.597038417084 -24.1188875594078
124 15.4663012924625 -24.1388853407824
125 15.3917138900626 -24.1593433568186
126 15.2663976333988 -24.1803997868468
127 15.1766680207934 -24.202404474801
128 15.0717257717007 -24.216579611022
129 14.9914554896511 -24.2321092957052
130 14.8879235975492 -24.2550570507909
131 14.8232183423964 -24.2689956821219
132 14.7259827315505 -24.2842644394849
133 14.6088826081942 -24.2921412518307
134 14.5108919052146 -24.3006239180875
135 14.4104014312594 -24.3081818848435
136 14.3163914213321 -24.3168769159631
137 14.2310085132968 -24.3231297660657
138 14.1666837365499 -24.3308939272188
139 14.0382875867038 -24.3371310911243
140 13.9674750063399 -24.341892861095
141 13.8662748616128 -24.3480751777469
142 13.7724040845385 -24.3552753970862
143 13.6708182233278 -24.3588919823916
144 13.621696964436 -24.3641884003662
145 13.4892543225226 -24.3675251323711
146 13.3957304632012 -24.3662782824717
147 13.3217088412045 -24.3660624591156
148 13.2229700893249 -24.3653163233176
149 13.1209549316862 -24.3649051776801
150 13.0528390514371 -24.3637938470116
151 12.9607439617331 -24.3616745523074
152 12.8573979829902 -24.3609317639351
153 12.7773845047633 -24.3595383136262
154 12.680758376138 -24.3563588543271
155 12.610717949995 -24.3547214532967
156 12.5365242653296 -24.3529868917922
157 12.4248368189004 -24.3495269802421
158 12.3406915278872 -24.3472752036393
159 12.2679310278961 -24.3430349376701
160 12.1864049557687 -24.3413667736829
161 12.0917510344159 -24.3378226284689
162 12.001052412102 -24.3229381420166
163 11.9118876840842 -24.3055491173652
164 11.863658719522 -24.2783349517621
165 11.7404731908963 -24.2298691277784
166 11.6629081148219 -24.2168976534646
167 11.5826308895221 -24.194727587484
168 11.5125220941382 -24.1630715282092
169 11.4360683117825 -24.1286080349234
170 11.3431593161055 -24.1015489048704
171 11.2780531875445 -24.0712023838304
172 11.2051544068516 -24.0359749369592
173 11.116722900185 -23.996488046849
174 11.0474674282356 -23.9548591723268
175 10.9688288608729 -23.9099119919596
176 10.891966771241 -23.8711882511322
177 10.8010045862458 -23.8099588302605
178 10.7295680200061 -23.7786635637523
179 10.6456812393896 -23.7352830690005
180 10.5647736461396 -23.6918404295922
181 10.4870806710844 -23.6448984762557
182 10.4343823484421 -23.6076482535796
183 10.3477005927521 -23.5693962481334
184 10.2827708444986 -23.5272994815339
185 10.20828920061 -23.482046263918
186 10.1591364977042 -23.4348583742844
187 10.0870349546312 -23.3932647941894
188 10.005154340906 -23.3596562071818
189 9.93574721710641 -23.3263726863242
190 9.8693157469855 -23.2829601288881
191 9.81492347328081 -23.2346551835169
192 9.73912665525605 -23.1973105254212
193 9.67127435946875 -23.1595901637725
194 9.60232008096052 -23.1127190395861
195 9.56048060947914 -23.0616411629404
196 9.50054156360934 -23.0369802159364
197 9.43406448680458 -22.9652618235601
198 9.35641456294205 -22.9421552583259
199 9.306800038661 -22.9075048581448
200 9.2606759581318 -22.8635086827908
201 9.189578123457 -22.820017006402
202 9.11962455789624 -22.7824924414411
