"Time Steps" "Input pressure setpoint(psi)" "Output Angle (deg)"
151 6.75213600007575 9.45904334132976
152 6.77659874574241 9.46955745583875
153 6.80127132444756 9.48531766677397
154 6.82680415840531 9.50026159716884
155 6.85211947638989 9.51674106314016
156 6.87713255291355 9.52834246417791
157 6.90280103704846 9.55583770747651
158 6.92716020944094 9.55550753632338
159 6.95179008620171 9.57348787322709
160 6.97730452936983 9.58526115021905
161 7.00180988916591 9.59865058413985
162 7.02666439921127 9.61011469402234
163 7.05127654354308 9.64058187408639
164 7.07663237886793 9.65204602638954
165 7.10180640360866 9.66575255949923
166 7.12621804333517 9.67801551853725
167 7.1522732126607 9.69768560457959
168 7.17669020513635 9.71127606162506
169 7.20174734324391 9.72777208580959
170 7.22725848274152 9.74228563856244
171 7.25224331378071 9.75736655146099
172 7.27737009598558 9.76931268308743
173 7.30199090109125 9.78312700610596
174 7.32650468676951 9.79478869828466
175 7.35213004735528 9.80780476808198
176 7.37745976454534 9.8203902455856
177 7.40250059324374 9.84419029869477
178 7.42628087504587 9.86030110475926
179 7.4511345993512 9.87649973076293
180 7.47633716374139 9.88817260859318
181 7.50155595427412 9.9038189388252
182 7.52625557472982 9.91719138154701
183 7.54964435964235 9.93393432802924
184 7.57554889695574 9.9480565399451
185 7.6002208693612 9.96879901547462
186 7.62570277135076 9.98041352267211
187 7.65187985004018 9.99642861470105
188 7.67637592125589 10.0075185474485
189 7.70175308741993 10.0216747993751
190 7.72742908687524 10.0328367776017
191 7.75233084171298 10.0466469649923
192 7.77666152097467 10.0584942871523
193 7.80156800500476 10.0733719970652
194 7.82659486168188 10.0895409425855
195 7.85254348525074 10.1031133218659
196 7.87705256547385 10.1142620348991
197 7.90173428307634 10.133037681977
198 7.92631064029526 10.1495209085989
199 7.95189097496116 10.1664424691137
200 7.97772835716388 10.1776552237613
201 8.00215203647167 10.1972855331302
202 8.02657635190821 10.2183132929939
203 8.0527077077381 10.231647852486
204 8.0768741440729 10.2428689480715
205 8.10148631448122 10.2573274481308
206 8.12666531967383 10.2682244738552
207 8.15244661802588 10.2840236616949
208 8.17763098636821 10.2956535467424
209 8.20175879328044 10.3025189428367
210 8.22641728946758 10.323187561758
211 8.25123521564617 10.3401292612493
212 8.27621467540215 10.3531227729701
213 8.30103803116623 10.3703643793654
214 8.32587396347635 10.3823362988606
215 8.35053129964703 10.3957063711425
216 8.37532453618858 10.4083312500679
217 8.40062090593125 10.4249879365159
218 8.42526691149821 10.4368087342914
219 8.45165878807245 10.4526294909287
220 8.4771937465662 10.4679706579057
221 8.50222632810078 10.4798645620506
222 8.52654150543249 10.4612193194218
223 8.55234831952965 10.5057571431502
224 8.57742750047319 10.5310267327738
225 8.60256143007195 10.5517858053834
226 8.62735079320406 10.5652505958157
227 8.65205606772476 10.5820710624316
228 8.67649531950871 10.601902987873
229 8.70172910259949 10.625305221056
230 8.72751531144599 10.6421424876525
231 8.7515669132728 10.6585136123881
232 8.77631616502439 10.6711847464995
233 8.80173992677086 10.6572199304603
234 8.82770571740937 10.6476588317236
235 8.8519805140169 10.6608167174502
236 8.87637534591686 10.6939181926471
237 8.90175425097051 10.696512212562
238 8.92695006167136 10.7088230029721
239 8.95232783705872 10.7250474865711
240 8.9768625390528 10.7370122211663
